Suburb,Address,PropertyType,Bedrooms,Bathrooms,CarSpaces,LandSize_m2,SaleDate,SoldPrice_AUD,SourceURL
Burwood,"1C Hughes Street, Burwood, Vic 3125",Townhouse,4,3,2,262,2024-11-15,"$1,308,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-146337944
Burwood,"2/7 Church Street, Burwood, Vic 3125",Townhouse,3,2,2,303,2024-11-23,"$1,100,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-146459724
Burwood,"1/62 Roslyn Street, Burwood, Vic 3125",Townhouse,4,3,2,301,2024-11-23,"$1,560,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-146466268
Burwood,"8 Christina Street, Burwood, Vic 3125",Townhouse,4,4,2,340,2024-12-14,"$1,700,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-146642964
Burwood,"3/55 Andrews Street, Burwood, Vic 3125",Townhouse,4,3,2,226,2025-02-24,"$1,400,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-147018356
Burwood,"4/53 Elgar Road, Burwood, Vic 3125",Townhouse,3,2,2,269,2025-03-01,"$890,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-147148944
Burwood,"2/6 Fletcher Parade, Burwood, Vic 3125",Townhouse,3,2,2,101,2025-03-01,"$966,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-147132676
Burwood,"1/47 Station Street, Burwood, Vic 3125",Townhouse,4,2,2,281,2025-03-22,"$1,111,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-147348248
Burwood,"5/25-29 Roslyn Street, Burwood, Vic 3125",Townhouse,2,1,2,98,2025-04-05,"$730,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-147499312
Burwood,"3/17 Sunhill Avenue, Burwood, Vic 3125",Townhouse,4,2,2,252,2025-06-28,"$1,181,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-148174052
Burwood,"2/55 Andrews Street, Burwood, Vic 3125",Townhouse,4,2,2,226,2025-07-04,"$1,250,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-148233352
Burwood,"23B Montpellier Road, Burwood, Vic 3125",Townhouse,4,3,3,327,2025-08-09,"$1,530,500.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-148515656
Burwood,"3/2 Alder Street, Burwood, Vic 3125",Townhouse,3,2,2,207,2025-08-30,"$1,192,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-148654292
